Date,rv_true,garch_rv,har_rv
2024-01-18,1.1050434032202629e-05,1.8187416864059853e-05,1.0502856014784366e-05
2024-01-19,3.43975902404314e-06,1.7358694294583403e-05,1.0130003978043265e-05
2024-01-22,2.644821265853877e-06,1.677025046838945e-05,9.366965924475146e-06
2024-01-23,2.726919951947664e-05,1.607850537402319e-05,9.018482442314202e-06
2024-01-24,2.4321255973290873e-05,1.5654205965308647e-05,1.0336439001575498e-05
2024-01-25,1.9568918242039516e-05,1.5372893362469922e-05,1.1908607959008738e-05
2024-01-26,1.624206256838334e-05,1.5213092889939116e-05,1.258788612859071e-05
2024-01-29,9.04656743582491e-06,1.4536996547477322e-05,1.3540728551999033e-05
2024-01-30,6.3338226185523365e-06,1.4007055679867392e-05,1.3334137216333598e-05
2024-01-31,2.626084292088725e-05,1.342430883385706e-05,1.1675229118808555e-05
2024-02-01,2.7712286616754614e-05,1.310771098277807e-05,1.272384118902133e-05
2024-02-02,4.210352509970957e-05,1.3811681287840965e-05,1.3233587037778462e-05
2024-02-05,1.22995199795524e-05,1.5978707074403427e-05,1.5489106862733825e-05
2024-02-06,4.9761685777999385e-06,1.6137051181549218e-05,1.5056478966798395e-05
2024-02-07,3.639439764203635e-06,1.550445282736551e-05,1.3762485488132394e-05
2024-02-08,6.993084440674687e-06,1.4975135911194896e-05,1.2325393200082148e-05
2024-02-09,3.401596304592458e-06,1.4325448342827596e-05,1.1299120886356355e-05
2024-02-12,7.635294565012927e-06,1.3715940449922919e-05,7.889345864667457e-06
2024-02-13,2.8476316564989113e-05,1.3164020065001784e-05,7.5199797178807025e-06
2024-02-14,4.9022367135617e-06,1.4196550890335664e-05,1.0501089601423228e-05
2024-02-15,1.126454288455806e-05,1.3737430780588238e-05,1.0007314254465026e-05
2024-02-16,9.562600995969826e-06,1.404373586918536e-05,1.0440297957496387e-05
2024-02-19,2.3322415193397003e-06,1.3437627877282661e-05,1.0912354993600908e-05
2024-02-20,1.8478466409974544e-05,1.286294527803237e-05,9.893771954124497e-06
2024-02-21,3.654719184998504e-06,1.2677632910129266e-05,1.0031560373269574e-05
2024-02-22,2.2002027991756757e-05,1.217386420108063e-05,9.398612125869568e-06
2024-02-23,2.361602032169493e-06,1.1669669303311429e-05,1.0818220667454147e-05
2024-02-26,6.728118918399909e-06,1.1165230034860855e-05,9.163548766641071e-06
2024-02-27,3.3168940087801273e-06,1.1111212063804496e-05,9.636656867011893e-06
2024-02-28,7.486781560522415e-06,1.0643878432529632e-05,8.026117378988032e-06
2024-02-29,1.1079990563828706e-05,1.0199296548775973e-05,8.559419108274763e-06
2024-03-01,6.2662880335019404e-06,1.0222116454856126e-05,7.732477052131445e-06
2024-03-04,2.849569630267483e-06,1.035690683967171e-05,7.68124924722251e-06
2024-03-05,3.942979875598277e-06,1.0055477380570444e-05,6.788402582958685e-06
2024-03-06,1.669226104595538e-05,9.627166229174537e-06,6.349583724465114e-06
2024-03-07,2.013444050001244e-05,1.0034161185287476e-05,7.484705384654028e-06
2024-03-08,1.2131860867376175e-05,1.0769068827379886e-05,8.468597421492142e-06
2024-03-11,3.387699799746637e-06,1.0345314123226666e-05,8.873159840811463e-06
2024-03-12,5.461163551057045e-06,9.984420697294007e-06,8.460342232753821e-06
2024-03-13,5.753456264091967e-06,9.56695473426439e-06,8.732984059919408e-06
2024-03-14,1.6482231213714376e-05,9.40655979817459e-06,7.99813898238492e-06
2024-03-15,2.2353464605681694e-06,1.074949256339628e-05,7.807840151602753e-06
2024-03-18,4.894445772961052e-06,1.0300870074086602e-05,6.5162986390610935e-06
2024-03-19,5.555091397016338e-06,9.924979926611401e-06,6.712370210390188e-06
2024-03-20,2.290653638762933e-05,9.530918872461743e-06,6.682697004790961e-06
2024-03-21,2.303700458210154e-05,1.0490665732226786e-05,8.668068464990392e-06
2024-03-22,1.371224601954937e-05,1.1495606852782004e-05,9.191707856542525e-06
2024-03-25,5.177360101098835e-06,1.2235087910447536e-05,9.924049981289507e-06
2024-03-26,4.90763796233802e-06,1.211552882491234e-05,9.268822438115886e-06
2024-03-27,2.553385829043798e-06,1.1595163450999881e-05,9.269942593585677e-06
2024-03-28,8.23273175183301e-06,1.1111292152879853e-05,7.800347366714008e-06
2024-03-29,4.383313141919058e-06,1.1238466766055967e-05,7.099305478444621e-06
2024-04-01,1.4308866142822348e-05,1.0764781480567336e-05,6.068866712758372e-06
2024-04-02,9.268289053872047e-06,1.1144961555201089e-05,7.220228585123362e-06
2024-04-03,1.6478743981775885e-05,1.0988223680084285e-05,7.518327176027827e-06
2024-04-04,6.0901762391686515e-06,1.257808209077741e-05,8.946702089319601e-06
2024-04-05,9.83637690689229e-06,1.202834473618904e-05,8.538815456298432e-06
2024-04-08,5.209203650942836e-06,1.151106674284154e-05,8.92336285843809e-06
2024-04-09,4.341888857748366e-06,1.124326560608097e-05,7.861663666920544e-06
