Date,y,rw,arima,ets,lstm
2024-02-26,1.08505,1.08203,1.0581104167644726,1.0492453280743765,1.0818865653133394
2024-02-27,1.08442,1.08505,1.0581104167644726,1.049148083824452,1.0847278587073088
2024-02-28,1.08372,1.08442,1.0581104167644726,1.0490508395745277,1.0842262198662758
2024-02-29,1.08042,1.08372,1.0581104167644726,1.0489535953246032,1.0835460463500024
2024-03-01,1.08388,1.08042,1.0581104167644726,1.0488563510746787,1.0803228877401352
2024-03-04,1.08555,1.08388,1.0581104167644726,1.0487591068247544,1.0836243608546257
2024-03-05,1.08559,1.08555,1.0581104167644726,1.0486618625748299,1.0852533329755067
2024-03-06,1.08975,1.08559,1.0581104167644726,1.0485646183249056,1.0854317933255435
2024-03-07,1.09483,1.08975,1.0581104167644726,1.048467374074981,1.0896077503859998
2024-03-08,1.09393,1.09483,1.0581104167644726,1.0483701298250567,1.0945391497594117
2024-03-11,1.09255,1.09393,1.0581104167644726,1.0482728855751322,1.0937674481505155
2024-03-12,1.09253,1.09255,1.0581104167644726,1.0481756413252077,1.09247198497653
2024-03-13,1.09477,1.09253,1.0581104167644726,1.0480783970752834,1.0924478187334536
2024-03-14,1.08837,1.09477,1.0581104167644726,1.0479811528253589,1.0946522829079628
2024-03-15,1.08838,1.08837,1.0581104167644726,1.0478839085754346,1.0878817740261555
2024-03-18,1.08719,1.08838,1.0581104167644726,1.04778666432551,1.0881986813533304
2024-03-19,1.08647,1.08719,1.0581104167644726,1.0476894200755857,1.0869552238982916
2024-03-20,1.09196,1.08647,1.0581104167644726,1.0475921758256612,1.0862870567899943
2024-03-21,1.0860400000000001,1.09196,1.0581104167644726,1.0474949315757367,1.0920416177034378
2024-03-22,1.08057,1.0860400000000001,1.0581104167644726,1.0473976873258124,1.0856058355784417
2024-03-25,1.08357,1.08057,1.0581104167644726,1.0473004430758879,1.0800421847087145
2024-03-26,1.08315,1.08357,1.0581104167644726,1.0472031988259636,1.083648794682026
2024-03-27,1.08257,1.08315,1.0581104167644726,1.047105954576039,1.083105130264163
2024-03-28,1.07874,1.08257,1.0581104167644726,1.0470087103261148,1.0825682577925921
2024-03-29,1.0787,1.07874,1.0581104167644726,1.0469114660761902,1.07850749874115
2024-04-01,1.0742099999999999,1.0787,1.0581104167644726,1.0468142218262657,1.078717102611065
2024-04-02,1.07678,1.0742099999999999,1.0581104167644726,1.0467169775763414,1.0737824856752156
2024-04-03,1.0836,1.07678,1.0581104167644726,1.046619733326417,1.0769666386079788
2024-04-04,1.08373,1.0836,1.0581104167644726,1.0465224890764926,1.0837538476467132
2024-04-05,1.08367,1.08373,1.0581104167644726,1.046425244826568,1.0836152140778303
2024-04-08,1.08585,1.08367,1.0581104167644726,1.0463280005766438,1.0835680741941929
2024-04-09,1.08568,1.08585,1.0581104167644726,1.0462307563267192,1.085636288934946
2024-04-10,1.07412,1.08568,1.0581104167644726,1.0461335120767947,1.0855423584890365
2024-04-11,1.07254,1.07412,1.0581104167644726,1.0460362678268704,1.0737685802721977
